iter,acc,nmi,ari,L
0,0.027119999999999998,0.066890000000000005,0.0016900000000000001,0
140,0.036450000000000003,0.06012,0.00091,0.10078
280,0.061289999999999997,0.058999999999999997,0.0022200000000000002,0.13634
420,0.073980000000000004,0.059679999999999997,0.0037100000000000002,0.15408
560,0.086019999999999999,0.0596,0.0045900000000000003,0.15731
700,0.089270000000000002,0.058680000000000003,0.0051799999999999997,0.18591
840,0.096759999999999999,0.059909999999999998,0.0059300000000000004,0.20794
980,0.10392,0.059229999999999998,0.0065300000000000002,0.20536
1120,0.10348,0.061170000000000002,0.0065399999999999998,0.21086
1260,0.11053,0.061179999999999998,0.0067600000000000004,0.20688
1400,0.11205,0.061240000000000003,0.0066499999999999997,0.22273
1540,0.11834,0.062740000000000004,0.0076899999999999998,0.22819
1680,0.12322,0.063329999999999997,0.0076800000000000002,0.2451
1820,0.1255,0.063490000000000005,0.0081899999999999994,0.22346
1960,0.12831999999999999,0.063659999999999994,0.0087100000000000007,0.22904
2100,0.13309000000000001,0.062630000000000005,0.0091199999999999996,0.2229
2240,0.13775999999999999,0.063950000000000007,0.0091400000000000006,0.24542
2380,0.14774000000000001,0.06343,0.0098799999999999999,0.24696
2520,0.14882000000000001,0.063200000000000006,0.01009,0.25687
2660,0.15445999999999999,0.062449999999999999,0.010800000000000001,0.25346
2800,0.15326999999999999,0.063729999999999995,0.010070000000000001,0.24373
2940,0.15651999999999999,0.062649999999999997,0.010529999999999999,0.23741
3080,0.15772,0.062469999999999998,0.01055,0.24805
3220,0.17063,0.062619999999999995,0.011979999999999999,0.26568
3360,0.16553000000000001,0.061990000000000003,0.011560000000000001,0.25055
3500,0.16325000000000001,0.061890000000000001,0.01133,0.25147
3640,0.16173000000000001,0.06166,0.0117,0.26251
3780,0.17821999999999999,0.061960000000000001,0.011050000000000001,0.25958
3920,0.17952000000000001,0.062509999999999996,0.01078,0.26313
4060,0.17691999999999999,0.062839999999999993,0.010619999999999999,0.2646
4200,0.19037000000000001,0.063030000000000003,0.011169999999999999,0.25424
4340,0.18049999999999999,0.06293,0.012500000000000001,0.26472
4480,0.19807,0.062489999999999997,0.012760000000000001,0.3051
4620,0.18645999999999999,0.062010000000000003,0.01316,0.25529
4760,0.19373000000000001,0.061990000000000003,0.01336,0.25484
4900,0.19091,0.060449999999999997,0.01243,0.27129
5040,0.18645999999999999,0.059959999999999999,0.01213,0.26587
5180,0.22302,0.060720000000000003,0.012359999999999999,0.35531
5320,0.19037000000000001,0.060330000000000002,0.01363,0.25301
5460,0.19719999999999999,0.060330000000000002,0.01359,0.26648
5600,0.20729,0.061109999999999998,0.013990000000000001,0.27053
5740,0.20935000000000001,0.060539999999999997,0.01295,0.27952
5880,0.19688,0.060479999999999999,0.013259999999999999,0.27145
6020,0.21987000000000001,0.060879999999999997,0.01529,0.3475
6160,0.22627,0.061260000000000002,0.019089999999999999,0.37461
6300,0.19525000000000001,0.06037,0.016899999999999998,0.46054
6440,0.18364,0.060569999999999999,0.01391,0.24752
6580,0.20024,0.058860000000000003,0.01303,0.28962
6720,0.22866,0.061129999999999997,0.015859999999999999,0.26748
6860,0.19894000000000001,0.060479999999999999,0.0154,0.31293
7000,0.20327999999999999,0.058799999999999998,0.016459999999999999,0.26659
7140,0.22161,0.059920000000000001,0.018329999999999999,0.3008
7280,0.21249999999999999,0.059520000000000003,0.016930000000000001,0.27347
7420,0.20988999999999999,0.059839999999999997,0.01553,0.30457
7560,0.19156000000000001,0.059819999999999998,0.01218,0.28138
7700,0.21726999999999999,0.060589999999999998,0.016660000000000001,0.42626
7840,0.21629000000000001,0.058900000000000001,0.018429999999999998,0.27875
7980,0.22073999999999999,0.059670000000000001,0.02196,0.30197
8120,0.21476999999999999,0.059209999999999999,0.016660000000000001,0.26999
8260,0.23841999999999999,0.059139999999999998,0.01541,0.30124
8400,0.22789999999999999,0.060600000000000001,0.022790000000000001,0.29726
8540,0.2253,0.059639999999999999,0.021080000000000002,0.2901
8680,0.23018,0.059900000000000002,0.023040000000000001,0.35352
8820,0.21748999999999999,0.05926,0.022429999999999999,0.25364
8960,0.23841999999999999,0.059999999999999998,0.025579999999999999,0.2956
9100,0.24092,0.059220000000000002,0.02181,0.29289
9240,0.23136999999999999,0.060240000000000002,0.024930000000000001,0.2984
9380,0.22877,0.060139999999999999,0.022890000000000001,0.37633
9520,0.19688,0.057599999999999998,0.019199999999999998,0.31121
9660,0.21553,0.057790000000000001,0.0167,0.30015
9800,0.20035,0.056430000000000001,0.021420000000000002,0.34019
9940,0.21260000000000001,0.057070000000000003,0.022409999999999999,0.27586
10080,0.19449,0.056340000000000001,0.02342,0.30959
10220,0.24329999999999999,0.059459999999999999,0.021610000000000001,0.40957
10360,0.24276,0.057820000000000003,0.0258,0.26132
