iter,acc,nmi,ari,L
0,0.6218,0.5791,0.45766,0
140,0.6396,0.59793,0.48257,0.04735
280,0.6492,0.61156,0.49612,0.09147
420,0.655,0.6231,0.50601,0.11914
560,0.6588,0.62954,0.51096,0.12109
700,0.6604,0.63594,0.51584,0.11641
840,0.663,0.64334,0.52092,0.11037
980,0.664,0.64407,0.52235,0.1037
1120,0.6648,0.64763,0.52514,0.09561
1260,0.666,0.64958,0.52711,0.08739
1400,0.6676,0.653,0.53037,0.07986
1540,0.6676,0.65385,0.53144,0.07308
1680,0.668,0.65388,0.532,0.06712
1820,0.6676,0.65371,0.53187,0.0618
1960,0.6676,0.65426,0.5328,0.05674
2100,0.6682,0.65441,0.53327,0.05218
2240,0.6684,0.65399,0.53367,0.048
2380,0.668,0.65415,0.5338,0.04435
2520,0.6684,0.65441,0.53385,0.0411
2660,0.669,0.65445,0.53416,0.03809
2800,0.6696,0.65547,0.53508,0.03516
2940,0.6696,0.65545,0.53526,0.03245
3080,0.6694,0.65443,0.53476,0.03014
