iter,acc,nmi,ari,L
0,0.79714,0.73581,0.67586,0
140,0.8137,0.75846,0.70612,0.0338
280,0.82328,0.7761,0.72577,0.07472
420,0.83202,0.79269,0.74342,0.10538
560,0.83636,0.80169,0.753,0.10554
700,0.8406,0.80844,0.76076,0.09772
840,0.84246,0.81317,0.76466,0.10659
980,0.8442,0.8164,0.76818,0.08865
1120,0.84542,0.81949,0.77064,0.08199
1260,0.84564,0.82088,0.77128,0.08278
1400,0.84668,0.82254,0.77354,0.07873
1540,0.84746,0.8236,0.77508,0.08132
1680,0.84814,0.82456,0.776,0.07024
1820,0.84836,0.82538,0.77644,0.08213
1960,0.84904,0.82681,0.77807,0.0548
2100,0.84882,0.82694,0.77779,0.0619
2240,0.8491,0.82687,0.77777,0.06138
2380,0.85002,0.82817,0.77972,0.06358
2520,0.85032,0.82844,0.78031,0.06657
2660,0.85062,0.82855,0.78055,0.0577
2800,0.85052,0.82873,0.78031,0.06939
2940,0.85042,0.82922,0.78035,0.03877
3080,0.85038,0.82948,0.78041,0.05181
3220,0.8505,0.8291,0.78039,0.0515
3360,0.8509,0.82972,0.78138,0.0563
3500,0.85138,0.82997,0.78208,0.05597
3640,0.8517,0.83032,0.78248,0.05102
3780,0.85158,0.83039,0.78228,0.06162
3920,0.85104,0.83022,0.78144,0.02808
4060,0.85138,0.83081,0.78216,0.04463
4200,0.85144,0.83051,0.78203,0.04488
4340,0.85182,0.83107,0.7829,0.05002
4480,0.85218,0.83144,0.78351,0.04852
4620,0.85208,0.83144,0.78346,0.04467
4760,0.85194,0.83116,0.78307,0.0543
4900,0.85186,0.83149,0.78306,0.02195
5040,0.8521,0.83172,0.78355,0.03958
5180,0.85216,0.83161,0.78345,0.04058
5320,0.85238,0.83201,0.78398,0.04246
5460,0.85256,0.83215,0.78431,0.04168
5600,0.85248,0.83216,0.78427,0.03814
5740,0.85228,0.83171,0.78375,0.04752
5880,0.85226,0.83184,0.78376,0.01894
6020,0.85234,0.83215,0.78393,0.03629
